Role,Description,Degree,Years of Exp,Expanded Experience,Notes,listing_to_embed
TO Program Manager,Provide oversight/mgmt of the task order,Bachelors in any field,5,Experience with managing ARPA-like support contracts.,,TO Program Manager Provide oversight/mgmt of the task order Bachelors in any field 5 Experience with managing ARPA-like support contracts. nan
Advanced Information Security Professional,"Conduct information security and privacy risk assessments;  Conduct testing to identify, document, test, and validate security and usability issues.","Masters, Cybersecurity or related field",7,"Experience in establishing and leading technical projects in the federal government requirement.  Experience/expertise in Incident Response, Insider Threat, Vulnerability Management, Assessment & Authorization, and the Risk Management Framework preferred",,"Advanced Information Security Professional Conduct information security and privacy risk assessments;  Conduct testing to identify, document, test, and validate security and usability issues. Masters, Cybersecurity or related field 7 Experience in establishing and leading technical projects in the federal government requirement.  Experience/expertise in Incident Response, Insider Threat, Vulnerability Management, Assessment & Authorization, and the Risk Management Framework preferred nan"
Basic Action Officer,"Provide administrative support to Office leadership including 'Track actions including taskers, briefs, and other deliverables",Bachelors in any field,7,"Ability to establish effective relationships with the public, have customer service expertise, excellent oral/written communication skills, and excellent organizational & time-management skills. Experience supporting executive-level personnel and working in an R&D environment is highly preferred.",,"Basic Action Officer Provide administrative support to Office leadership including 'Track actions including taskers, briefs, and other deliverables Bachelors in any field 7 Ability to establish effective relationships with the public, have customer service expertise, excellent oral/written communication skills, and excellent organizational & time-management skills. Experience supporting executive-level personnel and working in an R&D environment is highly preferred. nan"
Intermediate AI/Cybersecurity Advisor,"Provides techical AI/Cybersecurity risk analysis; Provides expert advice on AI strategy, implementation, and optimization, and its application to ARPA-H programs and business operations.","PhD, Computational Biology or related scientific field",15,"Experience in large scale, high dimensional AI/data analysis required.  Experience in building cross functional teams and collaboration building preferred",,"Intermediate AI/Cybersecurity Advisor Provides techical AI/Cybersecurity risk analysis; Provides expert advice on AI strategy, implementation, and optimization, and its application to ARPA-H programs and business operations. PhD, Computational Biology or related scientific field 15 Experience in large scale, high dimensional AI/data analysis required.  Experience in building cross functional teams and collaboration building preferred nan"
Intermediate AI/ML Scientist,"Generative AI developer, software developer, AI/ML Engineer, AI/ML policy & strategy","Masters, Biomedical Informatics or related field",8,Experience in software development and new product development required.  Experience in generative AI or bioinformatics preferred,,"Intermediate AI/ML Scientist Generative AI developer, software developer, AI/ML Engineer, AI/ML policy & strategy Masters, Biomedical Informatics or related field 8 Experience in software development and new product development required.  Experience in generative AI or bioinformatics preferred nan"
Advanced AI/ML Scientist,"Generative AI developer, software developer, AI/ML Engineer, AI/ML policy & strategy","PhD, Biosystems Engineering, Computer Science or related scientific field",8,"Experience in machine learning and natural language processing required.  Experience in computation replication preferred. Experience in language modeling, statistical  or key-phrase extraction, and medical applications preferred",,"Advanced AI/ML Scientist Generative AI developer, software developer, AI/ML Engineer, AI/ML policy & strategy PhD, Biosystems Engineering, Computer Science or related scientific field 8 Experience in machine learning and natural language processing required.  Experience in computation replication preferred. Experience in language modeling, statistical  or key-phrase extraction, and medical applications preferred nan"
Advanced Systems Analyst,"Develop analytical software, Perform requirement analysis, Bioinformatics","Bachelors, Biomedical Engineering or related field",10,"Experience in strategy development, product development and data driven health platforms required.  Experence in diagnostic technologies and healthcare systems, applications and processes preferred.",,"Advanced Systems Analyst Develop analytical software, Perform requirement analysis, Bioinformatics Bachelors, Biomedical Engineering or related field 10 Experience in strategy development, product development and data driven health platforms required.  Experence in diagnostic technologies and healthcare systems, applications and processes preferred. nan"
Intermediate Technical Advisor,Provides technical expertise and support to the CIO,Computer Science or related scientific field PhD. ,10,"Experience in software development and technology infrastruce required   Experience in solutions architecture, user centered design, cloud, AI and agile. Extensive cloud architecture experience preferred",,"Intermediate Technical Advisor Provides technical expertise and support to the CIO Computer Science or related scientific field PhD.  10 Experience in software development and technology infrastruce required   Experience in solutions architecture, user centered design, cloud, AI and agile. Extensive cloud architecture experience preferred nan"
Basic Software Developer,"Software developer, Cloud computing, Generative AI developer","Bachelors, Computer Science or related field",8,"Experience in development, testing and deployment of enterpise applications required.  Experience in project management preferred",,"Basic Software Developer Software developer, Cloud computing, Generative AI developer Bachelors, Computer Science or related field 8 Experience in development, testing and deployment of enterpise applications required.  Experience in project management preferred nan"
Basic Executive Assistant,Provide administrative support to office leadership; ,Bachelors in any field,10,"Ability to establish effective relationships with the public, have customer service expertise, excellent oral/written communication skills, and excellent organizational & time-management skills. Experience supporting executive-level personnel and working in an R&D environment is highly preferred.",,"Basic Executive Assistant Provide administrative support to office leadership;  Bachelors in any field 10 Ability to establish effective relationships with the public, have customer service expertise, excellent oral/written communication skills, and excellent organizational & time-management skills. Experience supporting executive-level personnel and working in an R&D environment is highly preferred. nan"
